index,kx_cart_2pi_over_alat,ky_cart_2pi_over_alat,kz_cart_2pi_over_alat,band_1_ev,band_2_ev,band_3_ev,band_4_ev,fermi_ev
369,0.0,0.25,-0.75,2.2742,10.121,10.8323,11.7088,7.8018
370,-0.125,0.375,-0.875,4.7903,6.9156,9.2918,11.4448,7.8018
371,-0.25,0.5,-1.0,3.8916,7.5205,8.9825,12.5483,7.8018
372,0.625,-0.375,-0.125,1.6,7.976,12.4019,14.4547,7.8018
373,0.5,-0.25,-0.25,0.0932,8.6717,16.3021,17.0303,7.8018
374,0.375,-0.125,-0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
375,0.25,0.0,-0.5,-0.4592,11.6813,13.074,16.5866,7.8018
376,0.25,0.25,-0.5,0.0932,8.6717,16.3021,17.0303,7.8018
377,0.125,0.375,-0.625,1.6,7.976,12.4019,14.4547,7.8018
378,0.0,0.5,-0.75,3.8916,7.5205,8.9825,12.5483,7.8018
379,-0.125,0.625,-0.875,4.7903,6.9156,9.2918,11.4448,7.8018
380,0.75,-0.25,0.0,2.2742,10.121,10.8323,11.7088,7.8018
381,0.625,-0.125,-0.125,0.5049,11.0548,13.4053,14.7303,7.8018
382,0.5,0.0,-0.25,-0.4592,11.6813,13.074,16.5866,7.8018
383,0.375,0.125,-0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
384,0.25,0.25,-0.25,-1.5701,11.2687,18.7018,18.7018,7.8018
385,0.125,0.375,-0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
386,0.0,0.5,-0.5,1.1914,9.0794,10.5765,17.2785,7.8018
387,-0.125,0.625,-0.625,3.7613,5.8707,10.3622,15.7059,7.8018
388,0.75,-0.25,0.25,2.8155,7.0881,11.483,14.8566,7.8018
389,0.625,-0.125,0.125,0.5049,11.0548,13.4053,14.7303,7.8018
390,0.5,0.0,0.0,-1.0136,15.3153,15.3266,15.3266,7.8018
391,0.375,0.125,-0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
392,0.375,0.375,-0.125,-0.5974,10.0697,14.4266,19.5556,7.8018
393,0.25,0.5,-0.25,0.0932,8.6717,16.3021,17.0303,7.8018
394,0.125,0.625,-0.375,1.6,7.976,12.4019,14.4547,7.8018
395,0.0,0.75,-0.5,3.8916,7.5205,8.9825,12.5483,7.8018
396,0.875,-0.125,0.375,4.7903,6.9156,9.2918,11.4448,7.8018
397,0.75,0.0,0.25,2.2742,10.121,10.8323,11.7088,7.8018
398,0.625,0.125,0.125,0.5049,11.0548,13.4053,14.7303,7.8018
399,0.5,0.25,0.0,-0.4592,11.6813,13.074,16.5866,7.8018
400,0.5,0.5,0.0,1.1914,9.0794,10.5765,17.2785,7.8018
401,0.375,0.625,-0.125,1.6,7.976,12.4019,14.4547,7.8018
402,0.25,0.75,-0.25,2.8155,7.0881,11.483,14.8566,7.8018
403,0.125,0.875,-0.375,4.7903,6.9156,9.2918,11.4448,7.8018
404,1.0,0.0,0.5,7.0015,7.0015,8.0199,8.9169,7.8018
405,0.875,0.125,0.375,4.7903,6.9156,9.2918,11.4448,7.8018
406,0.75,0.25,0.25,2.8155,7.0881,11.483,14.8566,7.8018
407,0.625,0.375,0.125,1.6,7.976,12.4019,14.4547,7.8018
408,0.625,0.625,0.125,3.7613,5.8707,10.3622,15.7059,7.8018
409,0.5,0.75,0.0,3.8916,7.5205,8.9825,12.5483,7.8018
