index,kx_cart_2pi_over_alat,ky_cart_2pi_over_alat,kz_cart_2pi_over_alat,band_1_ev,band_2_ev,band_3_ev,band_4_ev,fermi_ev
113,-0.5,-0.25,-0.25,0.0932,8.6717,16.3021,17.0303,7.8018
114,-0.625,-0.125,-0.375,1.6,7.976,12.4019,14.4547,7.8018
115,-0.75,0.0,-0.5,3.8916,7.5205,8.9825,12.5483,7.8018
116,0.125,-0.875,0.375,4.7903,6.9156,9.2918,11.4448,7.8018
117,0.0,-0.75,0.25,2.2742,10.121,10.8323,11.7088,7.8018
118,-0.125,-0.625,0.125,0.5049,11.0548,13.4053,14.7303,7.8018
119,-0.25,-0.5,0.0,-0.4592,11.6813,13.074,16.5866,7.8018
120,-0.25,-0.25,0.0,-2.1289,14.2719,15.501,21.5185,7.8018
121,-0.375,-0.125,-0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
122,-0.5,0.0,-0.25,-0.4592,11.6813,13.074,16.5866,7.8018
123,-0.625,0.125,-0.375,1.6,7.976,12.4019,14.4547,7.8018
124,0.25,-0.75,0.5,4.312,4.5595,12.8025,13.2583,7.8018
125,0.125,-0.625,0.375,1.6,7.976,12.4019,14.4547,7.8018
126,0.0,-0.5,0.25,-0.4592,11.6813,13.074,16.5866,7.8018
127,-0.125,-0.375,0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
128,-0.25,-0.25,0.25,-1.5701,11.2687,18.7018,18.7018,7.8018
129,-0.375,-0.125,0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
130,-0.5,0.0,0.0,-1.0136,15.3153,15.3266,15.3266,7.8018
131,-0.625,0.125,-0.125,0.5049,11.0548,13.4053,14.7303,7.8018
132,0.25,-0.75,0.75,2.8155,7.0881,11.483,14.8566,7.8018
133,0.125,-0.625,0.625,3.7613,5.8707,10.3622,15.7059,7.8018
134,0.0,-0.5,0.5,1.1914,9.0794,10.5765,17.2785,7.8018
135,-0.125,-0.375,0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
136,-0.125,-0.125,0.375,-1.7096,13.1258,16.6493,18.1733,7.8018
137,-0.25,0.0,0.25,-2.1289,14.2719,15.501,21.5185,7.8018
138,-0.375,0.125,0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
139,-0.5,0.25,0.0,-0.4592,11.6813,13.074,16.5866,7.8018
140,0.375,-0.625,0.875,1.6,7.976,12.4019,14.4547,7.8018
141,0.25,-0.5,0.75,4.312,4.5595,12.8025,13.2583,7.8018
142,0.125,-0.375,0.625,1.6,7.976,12.4019,14.4547,7.8018
143,0.0,-0.25,0.5,-0.4592,11.6813,13.074,16.5866,7.8018
144,0.0,0.0,0.5,-1.0136,15.3153,15.3266,15.3266,7.8018
145,-0.125,0.125,0.375,-1.7096,13.1258,16.6493,18.1733,7.8018
146,-0.25,0.25,0.25,-1.5701,11.2687,18.7018,18.7018,7.8018
147,-0.375,0.375,0.125,-0.5974,10.0697,14.4266,19.5556,7.8018
148,0.5,-0.5,1.0,1.1914,9.0794,10.5765,17.2785,7.8018
149,0.375,-0.375,0.875,3.7613,5.8707,10.3622,15.7059,7.8018
150,0.25,-0.25,0.75,2.8155,7.0881,11.483,14.8566,7.8018
151,0.125,-0.125,0.625,0.5049,11.0548,13.4053,14.7303,7.8018
152,0.125,0.125,0.625,0.5049,11.0548,13.4053,14.7303,7.8018
153,0.0,0.25,0.5,-0.4592,11.6813,13.074,16.5866,7.8018
154,-0.125,0.375,0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
155,-0.25,0.5,0.25,0.0932,8.6717,16.3021,17.0303,7.8018
156,0.625,-0.375,1.125,1.6,7.976,12.4019,14.4547,7.8018
157,0.5,-0.25,1.0,3.8916,7.5205,8.9825,12.5483,7.8018
158,0.375,-0.125,0.875,4.7903,6.9156,9.2918,11.4448,7.8018
159,0.25,0.0,0.75,2.2742,10.121,10.8323,11.7088,7.8018
160,-0.75,-0.75,-0.25,2.8155,7.0881,11.483,14.8566,7.8018
161,-0.875,-0.625,-0.375,1.6,7.976,12.4019,14.4547,7.8018
162,-1.0,-0.5,-0.5,1.1914,9.0794,10.5765,17.2785,7.8018
163,-1.125,-0.375,-0.625,1.6,7.976,12.4019,14.4547,7.8018
164,-0.25,-1.25,0.25,2.8155,7.0881,11.483,14.8566,7.8018
165,-0.375,-1.125,0.125,4.7903,6.9156,9.2918,11.4448,7.8018
166,-0.5,-1.0,0.0,7.0015,7.0015,8.0199,8.9169,7.8018
167,-0.625,-0.875,-0.125,4.7903,6.9156,9.2918,11.4448,7.8018
168,-0.625,-0.625,-0.125,3.7613,5.8707,10.3622,15.7059,7.8018
169,-0.75,-0.5,-0.25,4.312,4.5595,12.8025,13.2583,7.8018
170,-0.875,-0.375,-0.375,3.7613,5.8707,10.3622,15.7059,7.8018
171,-1.0,-0.25,-0.5,3.8916,7.5205,8.9825,12.5483,7.8018
172,-0.125,-1.125,0.375,4.7903,6.9156,9.2918,11.4448,7.8018
173,-0.25,-1.0,0.25,5.9648,6.4896,7.4341,14.3755,7.8018
174,-0.375,-0.875,0.125,4.7903,6.9156,9.2918,11.4448,7.8018
175,-0.5,-0.75,0.0,3.8916,7.5205,8.9825,12.5483,7.8018
176,-0.5,-0.5,0.0,1.1914,9.0794,10.5765,17.2785,7.8018
177,-0.625,-0.375,-0.125,1.6,7.976,12.4019,14.4547,7.8018
178,-0.75,-0.25,-0.25,2.8155,7.0881,11.483,14.8566,7.8018
179,-0.875,-0.125,-0.375,4.7903,6.9156,9.2918,11.4448,7.8018
180,0.0,-1.0,0.5,7.0015,7.0015,8.0199,8.9169,7.8018
181,-0.125,-0.875,0.375,4.7903,6.9156,9.2918,11.4448,7.8018
182,-0.25,-0.75,0.25,2.8155,7.0881,11.483,14.8566,7.8018
183,-0.375,-0.625,0.125,1.6,7.976,12.4019,14.4547,7.8018
184,-0.375,-0.375,0.125,-0.5974,10.0697,14.4266,19.5556,7.8018
185,-0.5,-0.25,0.0,-0.4592,11.6813,13.074,16.5866,7.8018
186,-0.625,-0.125,-0.125,0.5049,11.0548,13.4053,14.7303,7.8018
187,-0.75,0.0,-0.25,2.2742,10.121,10.8323,11.7088,7.8018
188,0.125,-0.875,0.625,4.7903,6.9156,9.2918,11.4448,7.8018
189,0.0,-0.75,0.5,3.8916,7.5205,8.9825,12.5483,7.8018
190,-0.125,-0.625,0.375,1.6,7.976,12.4019,14.4547,7.8018
191,-0.25,-0.5,0.25,0.0932,8.6717,16.3021,17.0303,7.8018
192,-0.375,-0.375,0.375,0.5064,6.9766,18.6101,18.6101,7.8018
193,-0.5,-0.25,0.25,0.0932,8.6717,16.3021,17.0303,7.8018
194,-0.625,-0.125,0.125,0.5049,11.0548,13.4053,14.7303,7.8018
195,-0.75,0.0,0.0,1.7308,10.4183,13.6576,13.8886,7.8018
196,0.125,-0.875,0.875,3.7269,8.2117,10.0447,13.7707,7.8018
197,0.0,-0.75,0.75,5.9648,6.4896,7.4341,14.3755,7.8018
198,-0.125,-0.625,0.625,3.7613,5.8707,10.3622,15.7059,7.8018
199,-0.25,-0.5,0.5,1.7376,6.0426,14.5263,17.7646,7.8018
200,-0.25,-0.25,0.5,0.0932,8.6717,16.3021,17.0303,7.8018
201,-0.375,-0.125,0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
202,-0.5,0.0,0.25,-0.4592,11.6813,13.074,16.5866,7.8018
203,-0.625,0.125,0.125,0.5049,11.0548,13.4053,14.7303,7.8018
204,0.25,-0.75,1.0,2.2742,10.121,10.8323,11.7088,7.8018
205,0.125,-0.625,0.875,4.7903,6.9156,9.2918,11.4448,7.8018
206,0.0,-0.5,0.75,3.8916,7.5205,8.9825,12.5483,7.8018
207,-0.125,-0.375,0.625,1.6,7.976,12.4019,14.4547,7.8018
208,-0.125,-0.125,0.625,0.5049,11.0548,13.4053,14.7303,7.8018
209,-0.25,0.0,0.5,-0.4592,11.6813,13.074,16.5866,7.8018
210,-0.375,0.125,0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
211,-0.5,0.25,0.25,0.0932,8.6717,16.3021,17.0303,7.8018
212,0.375,-0.625,1.125,1.6,7.976,12.4019,14.4547,7.8018
213,0.25,-0.5,1.0,3.8916,7.5205,8.9825,12.5483,7.8018
214,0.125,-0.375,0.875,4.7903,6.9156,9.2918,11.4448,7.8018
215,0.0,-0.25,0.75,2.2742,10.121,10.8323,11.7088,7.8018
216,0.0,0.0,0.75,1.7308,10.4183,13.6576,13.8886,7.8018
217,-0.125,0.125,0.625,0.5049,11.0548,13.4053,14.7303,7.8018
218,-0.25,0.25,0.5,0.0932,8.6717,16.3021,17.0303,7.8018
219,-0.375,0.375,0.375,0.5064,6.9766,18.6101,18.6101,7.8018
220,0.5,-0.5,1.25,1.7376,6.0426,14.5263,17.7646,7.8018
221,0.375,-0.375,1.125,3.7613,5.8707,10.3622,15.7059,7.8018
222,0.25,-0.25,1.0,5.9648,6.4896,7.4341,14.3755,7.8018
223,0.125,-0.125,0.875,3.7269,8.2117,10.0447,13.7707,7.8018
224,-0.875,-0.875,-0.125,3.7269,8.2117,10.0447,13.7707,7.8018
225,-1.0,-0.75,-0.25,2.2742,10.121,10.8323,11.7088,7.8018
226,-1.125,-0.625,-0.375,1.6,7.976,12.4019,14.4547,7.8018
227,-1.25,-0.5,-0.5,1.7376,6.0426,14.5263,17.7646,7.8018
228,-0.375,-1.375,0.375,2.6858,4.8512,15.4059,16.6736,7.8018
229,-0.5,-1.25,0.25,4.312,4.5595,12.8025,13.2583,7.8018
230,-0.625,-1.125,0.125,4.7903,6.9156,9.2918,11.4448,7.8018
231,-0.75,-1.0,0.0,5.4472,6.7821,9.6005,11.0981,7.8018
232,-0.75,-0.75,0.0,5.9648,6.4896,7.4341,14.3755,7.8018
233,-0.875,-0.625,-0.125,4.7903,6.9156,9.2918,11.4448,7.8018
234,-1.0,-0.5,-0.25,3.8916,7.5205,8.9825,12.5483,7.8018
235,-1.125,-0.375,-0.375,3.7613,5.8707,10.3622,15.7059,7.8018
236,-0.25,-1.25,0.5,4.312,4.5595,12.8025,13.2583,7.8018
237,-0.375,-1.125,0.375,3.7613,5.8707,10.3622,15.7059,7.8018
238,-0.5,-1.0,0.25,3.8916,7.5205,8.9825,12.5483,7.8018
239,-0.625,-0.875,0.125,4.7903,6.9156,9.2918,11.4448,7.8018
240,-0.625,-0.625,0.125,3.7613,5.8707,10.3622,15.7059,7.8018
241,-0.75,-0.5,0.0,3.8916,7.5205,8.9825,12.5483,7.8018
242,-0.875,-0.375,-0.125,4.7903,6.9156,9.2918,11.4448,7.8018
243,-1.0,-0.25,-0.25,5.9648,6.4896,7.4341,14.3755,7.8018
244,-0.125,-1.125,0.625,4.7903,6.9156,9.2918,11.4448,7.8018
245,-0.25,-1.0,0.5,3.8916,7.5205,8.9825,12.5483,7.8018
246,-0.375,-0.875,0.375,3.7613,5.8707,10.3622,15.7059,7.8018
247,-0.5,-0.75,0.25,4.312,4.5595,12.8025,13.2583,7.8018
248,-0.5,-0.5,0.25,1.7376,6.0426,14.5263,17.7646,7.8018
249,-0.625,-0.375,0.125,1.6,7.976,12.4019,14.4547,7.8018
250,-0.75,-0.25,0.0,2.2742,10.121,10.8323,11.7088,7.8018
251,-0.875,-0.125,-0.125,3.7269,8.2117,10.0447,13.7707,7.8018
252,0.0,-1.0,0.75,5.4472,6.7821,9.6005,11.0981,7.8018
253,-0.125,-0.875,0.625,4.7903,6.9156,9.2918,11.4448,7.8018
254,-0.25,-0.75,0.5,4.312,4.5595,12.8025,13.2583,7.8018
255,-0.375,-0.625,0.375,2.6858,4.8512,15.4059,16.6736,7.8018
256,0.5,0.5,-0.5,3.2691,3.4705,19.1836,19.1836,7.8018
257,0.375,0.625,-0.625,2.6858,4.8512,15.4059,16.6736,7.8018
258,0.25,0.75,-0.75,2.8155,7.0881,11.483,14.8566,7.8018
259,0.125,0.875,-0.875,3.7269,8.2117,10.0447,13.7707,7.8018
260,1.0,0.0,0.0,4.9302,6.2414,13.1005,13.4097,7.8018
261,0.875,0.125,-0.125,3.7269,8.2117,10.0447,13.7707,7.8018
262,0.75,0.25,-0.25,2.8155,7.0881,11.483,14.8566,7.8018
263,0.625,0.375,-0.375,2.6858,4.8512,15.4059,16.6736,7.8018
264,0.625,0.625,-0.375,2.6858,4.8512,15.4059,16.6736,7.8018
265,0.5,0.75,-0.5,1.7376,6.0426,14.5263,17.7646,7.8018
266,0.375,0.875,-0.625,1.6,7.976,12.4019,14.4547,7.8018
267,0.25,1.0,-0.75,2.2742,10.121,10.8323,11.7088,7.8018
268,1.125,0.125,0.125,3.7269,8.2117,10.0447,13.7707,7.8018
269,1.0,0.25,0.0,5.4472,6.7821,9.6005,11.0981,7.8018
270,0.875,0.375,-0.125,4.7903,6.9156,9.2918,11.4448,7.8018
271,0.75,0.5,-0.25,4.312,4.5595,12.8025,13.2583,7.8018
272,0.75,0.75,-0.25,2.8155,7.0881,11.483,14.8566,7.8018
273,0.625,0.875,-0.375,1.6,7.976,12.4019,14.4547,7.8018
274,0.5,1.0,-0.5,1.1914,9.0794,10.5765,17.2785,7.8018
275,0.375,1.125,-0.625,1.6,7.976,12.4019,14.4547,7.8018
276,1.25,0.25,0.25,2.8155,7.0881,11.483,14.8566,7.8018
277,1.125,0.375,0.125,4.7903,6.9156,9.2918,11.4448,7.8018
278,1.0,0.5,0.0,7.0015,7.0015,8.0199,8.9169,7.8018
279,0.875,0.625,-0.125,4.7903,6.9156,9.2918,11.4448,7.8018
280,0.875,0.875,-0.125,3.7269,8.2117,10.0447,13.7707,7.8018
281,0.75,1.0,-0.25,2.2742,10.121,10.8323,11.7088,7.8018
282,0.625,1.125,-0.375,1.6,7.976,12.4019,14.4547,7.8018
283,0.5,1.25,-0.5,1.7376,6.0426,14.5263,17.7646,7.8018
284,1.375,0.375,0.375,2.6858,4.8512,15.4059,16.6736,7.8018
285,1.25,0.5,0.25,4.312,4.5595,12.8025,13.2583,7.8018
286,1.125,0.625,0.125,4.7903,6.9156,9.2918,11.4448,7.8018
287,1.0,0.75,0.0,5.4472,6.7821,9.6005,11.0981,7.8018
288,0.0,0.0,-1.0,4.9302,6.2414,13.1005,13.4097,7.8018
289,-0.125,0.125,-1.125,3.7269,8.2117,10.0447,13.7707,7.8018
290,-0.25,0.25,-1.25,2.8155,7.0881,11.483,14.8566,7.8018
