index,kx_cart_2pi_over_alat,ky_cart_2pi_over_alat,kz_cart_2pi_over_alat,band_1_ev,band_2_ev,band_3_ev,band_4_ev,fermi_ev
106,-1.0,0.4062,0.0938,6.3695,6.8534,7.8096,10.4715,7.8018
107,-1.0,0.4219,0.0781,6.4546,6.921,7.8775,10.0792,7.8018
108,-1.0,0.4375,0.0625,6.5477,6.9879,7.9429,9.7127,7.8018
109,-1.0,0.4531,0.0469,6.649,7.0477,7.9979,9.3867,7.8018
110,-1.0,0.4688,0.0312,6.7584,7.0876,8.03,9.1267,7.8018
111,-1.0,0.4844,0.0156,6.8759,7.0835,8.0303,8.9659,7.8018
112,-1.0,0.5,0.0,7.0015,7.0015,8.0199,8.9169,7.8018
113,-0.9688,0.5,0.0312,6.7936,6.8759,8.2608,9.0725,7.8018
114,-0.9375,0.5,0.0625,6.404,6.5797,8.7492,9.4588,7.8018
115,-0.9062,0.5,0.0938,5.9949,6.2205,9.3229,9.968,7.8018
116,-0.875,0.5,0.125,5.6017,5.8506,9.9463,10.5474,7.8018
117,-0.8438,0.5,0.1562,5.2341,5.4919,10.6093,11.1747,7.8018
118,-0.8125,0.5,0.1875,4.8957,5.1541,11.3078,11.8394,7.8018
119,-0.7812,0.5,0.2188,4.5881,4.8424,12.0395,12.5353,7.8018
120,-0.75,0.5,0.25,4.312,4.5595,12.8025,13.2583,7.8018
121,-0.7188,0.5,0.2812,4.068,4.3074,13.5947,14.0045,7.8018
122,-0.6875,0.5,0.3125,3.8563,4.0873,14.4132,14.77,7.8018
123,-0.6562,0.5,0.3438,3.6769,3.8998,15.254,15.5498,7.8018
124,-0.625,0.5,0.375,3.5302,3.7458,16.1099,16.3369,7.8018
125,-0.5938,0.5,0.4062,3.4159,3.6256,16.9684,17.1205,7.8018
126,-0.5625,0.5,0.4375,3.3343,3.5395,17.8067,17.8836,7.8018
127,-0.5312,0.5,0.4688,3.2854,3.4877,18.5812,18.598,7.8018
128,-0.5,0.5,0.5,3.2691,3.4705,19.1836,19.1836,7.8018
129,-0.5156,0.5156,0.4688,3.2813,3.4834,18.6246,18.7494,7.8018
130,-0.5312,0.5312,0.4375,3.318,3.5222,17.8698,18.2981,7.8018
131,-0.5469,0.5469,0.4062,3.3792,3.5868,17.0409,17.8692,7.8018
132,-0.5625,0.5625,0.375,3.4649,3.6771,16.1824,17.4631,7.8018
133,-0.5781,0.5781,0.3438,3.575,3.7929,15.3164,17.0801,7.8018
