index,distance_fractional,kx_fractional,ky_fractional,kz_fractional,band_1_ev,band_2_ev,band_3_ev,band_4_ev,band_5_ev,band_6_ev,band_7_ev,band_8_ev
0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-21.910000000000,-9.994000000000,-5.374000000000,-5.374000000000,0.854000000000,1.522000000000,1.651000000000,2.662000000000
1,0.016666710683,0.008333000000,0.014434000000,0.000000000000,-21.905000000000,-9.988000000000,-5.394000000000,-5.385000000000,0.861000000000,1.529000000000,1.658000000000,2.669000000000
2,0.033333921368,0.016667000000,0.028868000000,0.000000000000,-21.891000000000,-9.970000000000,-5.455000000000,-5.417000000000,0.881000000000,1.550000000000,1.678000000000,2.689000000000
3,0.049999766021,0.025000000000,0.043301000000,0.000000000000,-21.866000000000,-9.941000000000,-5.555000000000,-5.472000000000,0.915000000000,1.584000000000,1.713000000000,2.723000000000
4,0.066666476704,0.033333000000,0.057735000000,0.000000000000,-21.831000000000,-9.899000000000,-5.691000000000,-5.547000000000,0.962000000000,1.632000000000,1.761000000000,2.771000000000
5,0.083333687389,0.041667000000,0.072169000000,0.000000000000,-21.787000000000,-9.846000000000,-5.860000000000,-5.643000000000,1.022000000000,1.693000000000,1.823000000000,2.832000000000
6,0.100000398072,0.050000000000,0.086603000000,0.000000000000,-21.733000000000,-9.781000000000,-6.058000000000,-5.759000000000,1.096000000000,1.768000000000,1.898000000000,2.907000000000
7,0.116666242725,0.058333000000,0.101036000000,0.000000000000,-21.668000000000,-9.704000000000,-6.281000000000,-5.894000000000,1.184000000000,1.857000000000,1.988000000000,2.995000000000
8,0.133333453409,0.066667000000,0.115470000000,0.000000000000,-21.595000000000,-9.616000000000,-6.525000000000,-6.046000000000,1.285000000000,1.959000000000,2.091000000000,3.098000000000
9,0.150000164093,0.075000000000,0.129904000000,0.000000000000,-21.511000000000,-9.516000000000,-6.787000000000,-6.214000000000,1.400000000000,2.075000000000,2.208000000000,3.213000000000
10,0.166666874776,0.083333000000,0.144338000000,0.000000000000,-21.417000000000,-9.405000000000,-7.064000000000,-6.397000000000,1.528000000000,2.205000000000,2.338000000000,3.342000000000
11,0.183333219456,0.091667000000,0.158771000000,0.000000000000,-21.314000000000,-9.282000000000,-7.351000000000,-6.595000000000,1.669000000000,2.348000000000,2.483000000000,3.485000000000
12,0.199999930139,0.100000000000,0.173205000000,0.000000000000,-21.201000000000,-9.148000000000,-7.648000000000,-6.805000000000,1.824000000000,2.505000000000,2.641000000000,3.641000000000
13,0.216666640823,0.108333000000,0.187639000000,0.000000000000,-21.079000000000,-9.003000000000,-7.950000000000,-7.026000000000,1.992000000000,2.675000000000,2.813000000000,3.811000000000
14,0.233333851507,0.116667000000,0.202073000000,0.000000000000,-20.947000000000,-8.847000000000,-8.258000000000,-7.256000000000,2.174000000000,2.859000000000,2.998000000000,3.994000000000
15,0.249999696160,0.125000000000,0.216506000000,0.000000000000,-20.805000000000,-8.680000000000,-8.568000000000,-7.496000000000,2.369000000000,3.056000000000,3.198000000000,4.190000000000
16,0.266666406843,0.133333000000,0.230940000000,0.000000000000,-20.654000000000,-8.879000000000,-8.503000000000,-7.742000000000,2.578000000000,3.267000000000,3.411000000000,4.400000000000
17,0.283333617528,0.141667000000,0.245374000000,0.000000000000,-20.493000000000,-9.190000000000,-8.315000000000,-7.994000000000,2.800000000000,3.491000000000,3.638000000000,4.623000000000
18,0.300000328211,0.150000000000,0.259808000000,0.000000000000,-20.324000000000,-9.500000000000,-8.251000000000,-8.116000000000,3.035000000000,3.728000000000,3.878000000000,4.847000000000
19,0.316666172864,0.158333000000,0.274241000000,0.000000000000,-20.145000000000,-9.808000000000,-8.511000000000,-7.908000000000,3.283000000000,3.979000000000,4.133000000000,4.473000000000
20,0.333333383549,0.166667000000,0.288675000000,0.000000000000,-19.956000000000,-10.113000000000,-8.774000000000,-7.690000000000,3.545000000000,4.098000000000,4.242000000000,4.401000000000
21,0.350000094232,0.175000000000,0.303109000000,0.000000000000,-19.759000000000,-10.415000000000,-9.038000000000,-7.463000000000,3.723000000000,3.820000000000,4.519000000000,4.683000000000
22,0.366666804915,0.183333000000,0.317543000000,0.000000000000,-19.553000000000,-10.712000000000,-9.303000000000,-7.227000000000,3.350000000000,4.108000000000,4.808000000000,4.978000000000
23,0.383333149595,0.191667000000,0.331976000000,0.000000000000,-19.338000000000,-11.004000000000,-9.567000000000,-6.982000000000,2.978000000000,4.409000000000,5.109000000000,5.287000000000
24,0.399999860279,0.200000000000,0.346410000000,0.000000000000,-19.115000000000,-11.291000000000,-9.829000000000,-6.730000000000,2.610000000000,4.723000000000,5.423000000000,5.610000000000
25,0.416666570962,0.208333000000,0.360844000000,0.000000000000,-18.883000000000,-11.573000000000,-10.090000000000,-6.469000000000,2.246000000000,5.049000000000,5.748000000000,5.947000000000
26,0.433333781646,0.216667000000,0.375278000000,0.000000000000,-18.643000000000,-11.848000000000,-10.347000000000,-6.202000000000,1.887000000000,5.389000000000,6.083000000000,6.297000000000
27,0.449999626300,0.225000000000,0.389711000000,0.000000000000,-18.396000000000,-12.117000000000,-10.600000000000,-5.929000000000,1.534000000000,5.740000000000,6.427000000000,6.661000000000
28,0.466666336983,0.233333000000,0.404145000000,0.000000000000,-18.141000000000,-12.380000000000,-10.849000000000,-5.650000000000,1.187000000000,6.104000000000,6.778000000000,7.039000000000
29,0.483333547667,0.241667000000,0.418579000000,0.000000000000,-17.879000000000,-12.636000000000,-11.093000000000,-5.367000000000,0.846000000000,6.479000000000,7.131000000000,7.430000000000
30,0.500000258351,0.250000000000,0.433013000000,0.000000000000,-17.610000000000,-12.884000000000,-11.330000000000,-5.080000000000,0.514000000000,6.866000000000,7.479000000000,7.835000000000
31,0.516666103004,0.258333000000,0.447446000000,0.000000000000,-17.335000000000,-13.126000000000,-11.560000000000,-4.790000000000,0.189000000000,7.263000000000,7.808000000000,8.253000000000
32,0.533333313688,0.266667000000,0.461880000000,0.000000000000,-17.056000000000,-13.360000000000,-11.782000000000,-4.499000000000,-0.128000000000,7.670000000000,8.093000000000,8.685000000000
33,0.550000024371,0.275000000000,0.476314000000,0.000000000000,-16.772000000000,-13.587000000000,-11.995000000000,-4.209000000000,-0.436000000000,8.085000000000,8.299000000000,9.129000000000
34,0.566666735055,0.283333000000,0.490748000000,0.000000000000,-16.486000000000,-13.806000000000,-12.196000000000,-3.920000000000,-0.735000000000,8.408000000000,8.506000000000,9.587000000000
35,0.583333079735,0.291667000000,0.505181000000,0.000000000000,-16.200000000000,-14.017000000000,-12.385000000000,-3.634000000000,-1.024000000000,8.437000000000,8.930000000000,10.057000000000
36,0.599999790418,0.300000000000,0.519615000000,0.000000000000,-15.917000000000,-14.220000000000,-12.557000000000,-3.354000000000,-1.304000000000,8.419000000000,9.350000000000,10.537000000000
