atoms,volume_ang3,minimum_distance_ang
8.000000000000000000e+00,1.601383914900000036e+02,2.351432180000000205e+00
2.000000000000000000e+00,4.003459786999999892e+01,2.351432180000000205e+00
1.600000000000000000e+01,3.202767829699999993e+02,2.351432180000000205e+00
