index,kx,ky,kz,band_1_eV,band_2_eV,band_3_eV,band_4_eV,band_5_eV,band_6_eV,band_7_eV,band_8_eV
204,-0.441942,0.618718,-0.088388,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
205,-0.353553,0.707107,-0.176777,-2.641,-0.366,1.977,3.62,9.076,10.753,11.423,13.239
206,-0.265165,0.795495,-0.265165,-2.836,-0.438,2.211,4.317,8.052,11.674,11.688,13.168
207,-0.883883,0.176777,0.353553,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
208,-0.795495,0.265165,0.265165,-2.836,-0.438,2.211,4.317,8.052,11.674,11.688,13.168
209,-0.707107,0.353553,0.176777,-2.641,-0.366,1.977,3.62,9.076,10.753,11.423,13.239
210,-0.618718,0.441942,0.088388,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
211,-0.441942,0.441942,0.088388,-2.836,-0.438,2.211,4.317,8.052,11.674,11.688,13.168
212,-0.353553,0.53033,0.0,-2.641,-0.366,1.977,3.62,9.076,10.753,11.423,13.239
213,-0.265165,0.618718,-0.088388,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
214,-0.176777,0.707107,-0.176777,-2.027,-1.024,1.902,3.779,7.412,10.337,13.675,14.223
215,-0.795495,0.088388,0.441942,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
216,-0.707107,0.176777,0.353553,-2.641,-0.366,1.977,3.62,9.076,10.753,11.423,13.239
217,-0.618718,0.265165,0.265165,-2.836,-0.438,2.211,4.317,8.052,11.674,11.688,13.168
218,-0.53033,0.353553,0.176777,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
219,-0.353553,0.353553,0.176777,-3.585,-0.174,3.743,4.939,8.566,9.831,10.076,14.124
220,-0.265165,0.441942,0.088388,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
221,-0.176777,0.53033,0.0,-3.165,0.239,2.842,3.445,8.154,8.855,11.962,14.197
222,-0.088388,0.618718,-0.088388,-2.466,-0.627,2.768,3.521,7.102,8.175,14.473,14.561
223,-0.707107,0.0,0.53033,-1.536,-1.536,2.787,2.787,8.178,8.178,14.054,14.054
224,-0.618718,0.088388,0.441942,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
225,-0.53033,0.176777,0.353553,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
226,-0.441942,0.265165,0.265165,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
227,0.353553,-0.353553,-0.353553,-3.427,-0.767,5.006,5.006,7.743,9.547,9.547,13.941
228,0.441942,-0.265165,-0.441942,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
229,0.53033,-0.176777,-0.53033,-3.04,-0.179,2.67,3.999,7.727,10.658,11.952,12.127
